epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5602.49,0.57262,0.632,1.12707,0.90842,0.8894,0.92363,0.8663,0.29163,0.34917,0.91619,0.00643101,0.00643101,0.00643101
43,5735.34,0.56277,0.6271,1.12107,0.91305,0.88469,0.91983,0.86691,0.28339,0.34316,0.91054,0.00628101,0.00628101,0.00628101
44,5868.05,0.5728,0.61515,1.12484,0.91311,0.89162,0.92831,0.87214,0.28886,0.31967,0.90993,0.00612981,0.00612981,0.00612981
45,6000.53,0.56311,0.60622,1.11852,0.91595,0.87775,0.9261,0.87321,0.2824,0.32525,0.90434,0.00597754,0.00597754,0.00597754
46,6133.26,0.5637,0.61268,1.11882,0.89672,0.88582,0.92803,0.86954,0.28533,0.32098,0.90806,0.00582435,0.00582435,0.00582435
47,6266.03,0.55505,0.59382,1.11142,0.90702,0.88734,0.93401,0.87747,0.28375,0.32157,0.90856,0.0056704,0.0056704,0.0056704
48,6398.65,0.54943,0.58338,1.10996,0.92365,0.88563,0.93858,0.8857,0.27828,0.31833,0.90708,0.00551584,0.00551584,0.00551584
49,6531.39,0.54939,0.58462,1.11535,0.90176,0.8887,0.93299,0.87928,0.28342,0.31438,0.90456,0.00536081,0.00536081,0.00536081
50,6664.1,0.54218,0.56939,1.10635,0.89172,0.89719,0.93263,0.87842,0.27552,0.31243,0.90068,0.00520548,0.00520548,0.00520548
51,6797.18,0.53196,0.5602,1.09507,0.90697,0.88795,0.93603,0.88923,0.27109,0.30335,0.89366,0.00505,0.00505,0.00505
52,6929.68,0.53859,0.5557,1.10393,0.90974,0.90832,0.94459,0.89392,0.26919,0.29658,0.90035,0.00489452,0.00489452,0.00489452
53,7062.02,0.53852,0.55636,1.10541,0.91302,0.90408,0.93965,0.8907,0.26101,0.29577,0.89048,0.00473919,0.00473919,0.00473919
54,7194.42,0.52941,0.55046,1.09893,0.92174,0.89368,0.93945,0.89087,0.25897,0.30001,0.88994,0.00458416,0.00458416,0.00458416
55,7326.91,0.52356,0.539,1.09622,0.91466,0.8802,0.93788,0.88624,0.26761,0.30482,0.89115,0.0044296,0.0044296,0.0044296
56,7459.04,0.52213,0.52394,1.09449,0.92398,0.88159,0.9301,0.87992,0.262,0.2985,0.89512,0.00427565,0.00427565,0.00427565
57,7591.84,0.52499,0.52847,1.0945,0.91633,0.88439,0.93108,0.88088,0.26245,0.29851,0.88735,0.00412246,0.00412246,0.00412246
58,7724.92,0.5176,0.52456,1.09032,0.92726,0.87908,0.93213,0.88653,0.25829,0.30383,0.88649,0.00397019,0.00397019,0.00397019
59,7857.45,0.50888,0.51487,1.08429,0.92339,0.88812,0.93462,0.88629,0.25388,0.29416,0.88147,0.00381899,0.00381899,0.00381899
60,7990.31,0.50832,0.51471,1.08365,0.91699,0.89417,0.93674,0.88871,0.25761,0.28854,0.88303,0.00366899,0.00366899,0.00366899
61,8122.81,0.50016,0.49048,1.0784,0.8997,0.90914,0.9451,0.89485,0.26305,0.27691,0.8868,0.00352037,0.00352037,0.00352037
62,8255.26,0.50002,0.49686,1.0824,0.93587,0.87347,0.94073,0.89473,0.25282,0.27912,0.88216,0.00337325,0.00337325,0.00337325
63,8387.99,0.50261,0.49931,1.08368,0.93625,0.88295,0.94157,0.8944,0.25167,0.27683,0.88386,0.00322778,0.00322778,0.00322778
64,8520.8,0.50291,0.49437,1.08315,0.89773,0.90691,0.93341,0.88679,0.25339,0.27981,0.88301,0.00308412,0.00308412,0.00308412
65,8653.8,0.49264,0.48096,1.07763,0.91634,0.90144,0.93386,0.88866,0.24854,0.27738,0.87951,0.00294239,0.00294239,0.00294239
66,8786.92,0.48183,0.47425,1.06759,0.92733,0.88622,0.93546,0.89032,0.24395,0.27402,0.87635,0.00280275,0.00280275,0.00280275
67,8919.67,0.48264,0.47533,1.07119,0.91165,0.89023,0.93258,0.88971,0.24673,0.28447,0.88156,0.00266532,0.00266532,0.00266532
68,9052.58,0.47723,0.4651,1.06425,0.92433,0.89646,0.93288,0.88853,0.24983,0.28476,0.88309,0.00253024,0.00253024,0.00253024
